,time,x,y,z
816,0.204,182.40369,19.674591,15.69064
817,0.20425,118.660465,-42.107303,-7.84532
818,0.2045,164.75172,12.809936,30.400615
819,0.20475,208.881645,-29.358658,47.07192
820,0.205,134.351105,-60.739938,16.671305
821,0.20525,218.688295,-13.668018,43.14926
822,0.2055,167.693715,4.9646159999999995,15.69064
823,0.20575,205.93965,-48.971958,20.593965
824,0.206,228.494945,3.9839510000000002,-0.980665
825,0.20625,191.229675,-3.8613679999999997,1.9613300000000002
826,0.2065,248.108245,-35.242648,8.825985
827,0.20675,203.97832,-16.610013,-13.72931
828,0.207,301.064155,2.022621,-20.593965
829,0.20725,238.301595,-53.875283,9.80665
830,0.2075,229.47561,-23.474668,14.709975
831,0.20775,270.66354,-34.261983,10.787315
832,0.208,257.914895,-14.648683,-1.9613300000000002
833,0.20825,308.909475,-27.397328,11.76798
834,0.2085,292.23817,4.9646159999999995,3.92266
835,0.20875,286.35418,-15.629348,-3.92266
836,0.209,304.00615,-29.358658,-12.748645
837,0.20925,280.47019,-34.261983,5.88399
838,0.2095,316.754795,-57.797943,14.709975
839,0.20975,244.185585,-36.223313,2.941995
840,0.21,278.50886,-57.797943,32.361945
841,0.21025,241.24359,-50.933288,-1.9613300000000002
842,0.2105,214.765635,-16.610013,-5.88399
843,0.21075,253.01157,13.790601,-22.555295
844,0.211,215.7463,-6.803363,-38.245935
845,0.21125,204.958985,-11.706688,-33.34261
846,0.2115,190.24901,4.9646159999999995,-17.65197
847,0.21175,168.67438,-52.894618,-27.45862
848,0.212,157.887065,-15.629348,6.864655
849,0.21225,141.21576,-3.8613679999999997,-3.92266
850,0.2125,157.887065,0.061291,26.477955
851,0.21275,80.41453,-2.880703,-16.671305
852,0.213,149.06108,30.461906,13.72931
853,0.21325,66.68522,-24.455333,-17.65197
854,0.2135,60.80123,13.790601,-30.400615
855,0.21375,68.64655,36.345896,3.92266
856,0.214,3.92266,-15.629348,-11.76798
857,0.21425,28.439285,-25.435998,-2.941995
858,0.2145,-16.671305,51.055871,10.787315
859,0.21475,-18.632635,-47.010628,0.0
860,0.215,-46.091255,-1.900038,6.864655
861,0.21525,-58.8399,19.674591,-8.825985
862,0.2155,-62.76256,-39.165308,-1.9613300000000002
863,0.21575,-124.544455,5.945281,12.748645
864,0.216,-88.25985,48.113876,-30.400615
865,0.21625,-108.853815,8.887276,17.65197
866,0.2165,-150.041745,-19.552008,3.92266
867,0.21675,-125.52512,67.727176,-15.69064
868,0.217,-151.02241,13.790601,-24.516625
869,0.21725,-129.44778,-0.919373,-43.14926
870,0.2175,-189.268345,35.365231,-21.57463
871,0.21775,-170.63571,49.094541,-27.45862
872,0.218,-247.12758,-44.068633,-21.57463
873,0.21825,-188.28768,75.572496,1.9613300000000002
874,0.2185,-209.86231,36.345896,-29.41995
875,0.21875,-240.262925,-67.604593,50.013915
876,0.219,-245.16625,142.257716,-22.555295
877,0.21925,-181.423025,-50.933288,21.57463
878,0.2195,-240.262925,63.804516,-12.748645
879,0.21975,-251.05024,15.751931,17.65197
